provincia,cantón,área_de_residencia,sexo,número_total_de_personas_de_15_años_o_más,ocupada,desocupada,fuera_de_la_fuerza_de_trabajo
AZUAY,Cuenca,Urbana,Hombres,132639,90621,5701,36317
AZUAY,Cuenca,Urbana,Mujeres,152814,83461,6624,62729
AZUAY,Cuenca,Rural,Hombres,78984,53544,3914,21526
AZUAY,Cuenca,Rural,Mujeres,94392,42974,4555,46863
AZUAY,Girón,Urbana,Hombres,1390,906,82,402
AZUAY,Girón,Urbana,Mujeres,1818,852,116,850
AZUAY,Girón,Rural,Hombres,2597,1519,146,932
AZUAY,Girón,Rural,Mujeres,3284,1104,157,2023
AZUAY,Gualaceo,Urbana,Hombres,4458,3049,212,1197
AZUAY,Gualaceo,Urbana,Mujeres,5659,3037,255,2367
AZUAY,Gualaceo,Rural,Hombres,9042,5793,543,2706
AZUAY,Gualaceo,Rural,Mujeres,12178,4612,648,6918
AZUAY,Nabón,Urbana,Hombres,399,278,11,110
AZUAY,Nabón,Urbana,Mujeres,559,311,18,230
AZUAY,Nabón,Rural,Hombres,4545,2414,333,1798
AZUAY,Nabón,Rural,Mujeres,5686,1622,208,3856
AZUAY,Paute,Urbana,Hombres,2897,2019,125,753
AZUAY,Paute,Urbana,Mujeres,3657,1923,153,1581
AZUAY,Paute,Rural,Hombres,5917,3518,348,2051
AZUAY,Paute,Rural,Mujeres,7616,2957,346,4313
AZUAY,Pucará,Urbana,Hombres,300,188,9,103
AZUAY,Pucará,Urbana,Mujeres,337,110,1,226
AZUAY,Pucará,Rural,Hombres,2945,1427,390,1128
AZUAY,Pucará,Rural,Mujeres,3436,778,154,2504
AZUAY,San Fernando,Urbana,Hombres,463,301,22,140
AZUAY,San Fernando,Urbana,Mujeres,619,266,15,338
AZUAY,San Fernando,Rural,Hombres,741,491,25,225
AZUAY,San Fernando,Rural,Mujeres,1046,461,42,543
AZUAY,Santa Isabel,Urbana,Hombres,2083,1474,79,530
AZUAY,Santa Isabel,Urbana,Mujeres,2502,1361,110,1031
AZUAY,Santa Isabel,Rural,Hombres,5012,3305,217,1490
AZUAY,Santa Isabel,Rural,Mujeres,5751,2061,260,3430
AZUAY,Sígsig,Urbana,Hombres,1273,887,51,335
AZUAY,Sígsig,Urbana,Mujeres,1659,886,40,733
AZUAY,Sígsig,Rural,Hombres,6160,3786,408,1966
AZUAY,Sígsig,Rural,Mujeres,8962,4419,298,4245
AZUAY,Oña,Urbana,Hombres,330,248,14,68
AZUAY,Oña,Urbana,Mujeres,395,185,17,193
AZUAY,Oña,Rural,Hombres,828,481,67,280
AZUAY,Oña,Rural,Mujeres,1036,331,73,632
AZUAY,Chordeleg,Urbana,Hombres,1508,1019,55,434
AZUAY,Chordeleg,Urbana,Mujeres,1799,913,67,819
AZUAY,Chordeleg,Rural,Hombres,2341,1687,105,549
AZUAY,Chordeleg,Rural,Mujeres,3225,1934,89,1202
AZUAY,El Pan,Urbana,Hombres,164,112,7,45
AZUAY,El Pan,Urbana,Mujeres,226,95,6,125
AZUAY,El Pan,Rural,Hombres,839,418,72,349
AZUAY,El Pan,Rural,Mujeres,977,347,22,608
AZUAY,Sevilla de Oro,Urbana,Hombres,260,164,17,79
AZUAY,Sevilla de Oro,Urbana,Mujeres,306,125,29,152
AZUAY,Sevilla de Oro,Rural,Hombres,1357,822,91,444
AZUAY,Sevilla de Oro,Rural,Mujeres,1574,755,83,736
AZUAY,Guachapala,Urbana,Hombres,418,306,18,94
AZUAY,Guachapala,Urbana,Mujeres,499,266,26,207
AZUAY,Guachapala,Rural,Hombres,844,538,53,253
AZUAY,Guachapala,Rural,Mujeres,954,412,60,482
AZUAY,Camilo Ponce Enríquez,Urbana,Hombres,3342,2638,129,575
AZUAY,Camilo Ponce Enríquez,Urbana,Mujeres,3686,1608,183,1895
AZUAY,Camilo Ponce Enríquez,Rural,Hombres,4389,3290,210,889
AZUAY,Camilo Ponce Enríquez,Rural,Mujeres,4471,1520,196,2755
BOLIVAR,Guaranda,Urbana,Hombres,10965,6132,900,3933
BOLIVAR,Guaranda,Urbana,Mujeres,13026,6081,993,5952
BOLIVAR,Guaranda,Rural,Hombres,22340,10503,2563,9274
BOLIVAR,Guaranda,Rural,Mujeres,25885,6428,1906,17551
BOLIVAR,Chillanes,Urbana,Hombres,1139,712,70,357
BOLIVAR,Chillanes,Urbana,Mujeres,1329,584,107,638
BOLIVAR,Chillanes,Rural,Hombres,6136,3867,484,1785
BOLIVAR,Chillanes,Rural,Mujeres,6198,1707,276,4215
BOLIVAR,Chimbo,Urbana,Hombres,1594,938,109,547
BOLIVAR,Chimbo,Urbana,Mujeres,1865,824,149,892
BOLIVAR,Chimbo,Rural,Hombres,4094,2123,542,1429
BOLIVAR,Chimbo,Rural,Mujeres,4516,1254,461,2801
BOLIVAR,Echeandía,Urbana,Hombres,2502,1500,319,683
BOLIVAR,Echeandía,Urbana,Mujeres,2815,1109,225,1481
BOLIVAR,Echeandía,Rural,Hombres,2814,1705,272,837
BOLIVAR,Echeandía,Rural,Mujeres,2856,811,156,1889
BOLIVAR,San Miguel,Urbana,Hombres,3107,1781,190,1136
BOLIVAR,San Miguel,Urbana,Mujeres,3711,1779,192,1740
BOLIVAR,San Miguel,Rural,Hombres,7328,3867,848,2613
BOLIVAR,San Miguel,Rural,Mujeres,7898,2093,477,5328
BOLIVAR,Caluma,Urbana,Hombres,2714,1702,289,723
BOLIVAR,Caluma,Urbana,Mujeres,3116,1228,233,1655
BOLIVAR,Caluma,Rural,Hombres,2838,1680,222,936
BOLIVAR,Caluma,Rural,Mujeres,3015,840,211,1964
BOLIVAR,Las Naves,Urbana,Hombres,695,455,53,187
BOLIVAR,Las Naves,Urbana,Mujeres,790,300,45,445
BOLIVAR,Las Naves,Rural,Hombres,1886,1321,175,390
BOLIVAR,Las Naves,Rural,Mujeres,1849,531,132,1186
CANAR,Azogues,Urbana,Hombres,12411,7768,711,3932
CANAR,Azogues,Urbana,Mujeres,15203,7672,896,6635
CANAR,Azogues,Rural,Hombres,12495,7268,1029,4198
CANAR,Azogues,Rural,Mujeres,16317,6242,1040,9035
CANAR,Biblián,Urbana,Hombres,1892,1144,86,662
CANAR,Biblián,Urbana,Mujeres,2493,1182,120,1191
CANAR,Biblián,Rural,Hombres,4005,2088,314,1603
CANAR,Biblián,Rural,Mujeres,5810,2013,331,3466
CANAR,Cañar,Urbana,Hombres,4555,2868,274,1413
CANAR,Cañar,Urbana,Mujeres,5584,2818,273,2493
CANAR,Cañar,Rural,Hombres,12188,6392,1256,4540
CANAR,Cañar,Rural,Mujeres,16041,4536,930,10575
CANAR,La Troncal,Urbana,Hombres,12830,8719,726,3385
CANAR,La Troncal,Urbana,Mujeres,14966,5773,791,8402
CANAR,La Troncal,Rural,Hombres,7477,5277,406,1794
CANAR,La Troncal,Rural,Mujeres,8186,2481,771,4934
CANAR,El Tambo,Urbana,Hombres,1644,1016,90,538
CANAR,El Tambo,Urbana,Mujeres,2077,888,136,1053
CANAR,El Tambo,Rural,Hombres,1289,625,162,502
CANAR,El Tambo,Rural,Mujeres,1685,462,91,1132
CANAR,Déleg,Urbana,Hombres,197,128,12,57
CANAR,Déleg,Urbana,Mujeres,307,138,14,155
CANAR,Déleg,Rural,Hombres,1744,963,145,636
CANAR,Déleg,Rural,Mujeres,2298,724,171,1403
CANAR,Suscal,Urbana,Hombres,343,206,21,116
CANAR,Suscal,Urbana,Mujeres,427,184,32,211
CANAR,Suscal,Rural,Hombres,1076,451,141,484
CANAR,Suscal,Rural,Mujeres,1568,295,121,1152
CARCHI,Tulcán,Urbana,Hombres,20962,13499,1719,5744
CARCHI,Tulcán,Urbana,Mujeres,23409,11247,1963,10199
CARCHI,Tulcán,Rural,Hombres,12718,8673,871,3174
CARCHI,Tulcán,Rural,Mujeres,13335,4723,761,7851
CARCHI,Bolívar,Urbana,Hombres,1310,935,53,322
CARCHI,Bolívar,Urbana,Mujeres,1342,622,90,630
CARCHI,Bolívar,Rural,Hombres,4661,3379,212,1070
CARCHI,Bolívar,Rural,Mujeres,4812,2032,228,2552
CARCHI,Espejo,Urbana,Hombres,1899,1292,107,500
CARCHI,Espejo,Urbana,Mujeres,2072,1017,124,931
CARCHI,Espejo,Rural,Hombres,3528,2524,124,880
CARCHI,Espejo,Rural,Mujeres,3706,1300,118,2288
CARCHI,Mira,Urbana,Hombres,1405,897,53,455
CARCHI,Mira,Urbana,Mujeres,1601,692,98,811
CARCHI,Mira,Rural,Hombres,3592,2509,196,887
CARCHI,Mira,Rural,Mujeres,3532,1152,163,2217
CARCHI,Montúfar,Urbana,Hombres,5236,3530,427,1279
CARCHI,Montúfar,Urbana,Mujeres,5863,2865,600,2398
CARCHI,Montúfar,Rural,Hombres,5665,3971,294,1400
CARCHI,Montúfar,Rural,Mujeres,6056,2110,353,3593
CARCHI,San Pedro de Huaca,Urbana,Hombres,1695,1215,74,406
CARCHI,San Pedro de Huaca,Urbana,Mujeres,1722,685,85,952
CARCHI,San Pedro de Huaca,Rural,Hombres,1287,953,48,286
CARCHI,San Pedro de Huaca,Rural,Mujeres,1382,455,69,858
COTOPAXI,Latacunga,Urbana,Hombres,27891,18274,1565,8052
COTOPAXI,Latacunga,Urbana,Mujeres,31574,16741,2096,12737
COTOPAXI,Latacunga,Rural,Hombres,50234,30783,4677,14774
COTOPAXI,Latacunga,Rural,Mujeres,53075,22808,3184,27083
COTOPAXI,La Maná,Urbana,Hombres,10649,7517,767,2365
COTOPAXI,La Maná,Urbana,Mujeres,11779,4988,997,5794
COTOPAXI,La Maná,Rural,Hombres,7794,5328,568,1898
COTOPAXI,La Maná,Rural,Mujeres,8058,2515,546,4997
COTOPAXI,Pangua,Urbana,Hombres,649,435,26,188
COTOPAXI,Pangua,Urbana,Mujeres,788,422,32,334
COTOPAXI,Pangua,Rural,Hombres,7497,5368,363,1766
COTOPAXI,Pangua,Rural,Mujeres,7463,2597,234,4632
COTOPAXI,Pujilí,Urbana,Hombres,5615,3483,510,1622
COTOPAXI,Pujilí,Urbana,Mujeres,6434,3193,758,2483
COTOPAXI,Pujilí,Rural,Hombres,17035,8252,2159,6624
COTOPAXI,Pujilí,Rural,Mujeres,20334,5410,2031,12893
COTOPAXI,Salcedo,Urbana,Hombres,6007,3962,363,1682
COTOPAXI,Salcedo,Urbana,Mujeres,6873,3645,477,2751
COTOPAXI,Salcedo,Rural,Hombres,18005,11080,1558,5367
COTOPAXI,Salcedo,Rural,Mujeres,20565,8631,1386,10548
COTOPAXI,Saquisilí,Urbana,Hombres,3365,2180,215,970
COTOPAXI,Saquisilí,Urbana,Mujeres,3875,2025,204,1646
COTOPAXI,Saquisilí,Rural,Hombres,4796,2661,363,1772
COTOPAXI,Saquisilí,Rural,Mujeres,5822,2000,285,3537
COTOPAXI,Sigchos,Urbana,Hombres,920,558,62,300
COTOPAXI,Sigchos,Urbana,Mujeres,1086,496,87,503
COTOPAXI,Sigchos,Rural,Hombres,5436,2953,425,2058
COTOPAXI,Sigchos,Rural,Mujeres,5886,1851,258,3777
CHIMBORAZO,Riobamba,Urbana,Hombres,64240,39899,3910,20431
CHIMBORAZO,Riobamba,Urbana,Mujeres,74440,39518,4925,29997
